id,name,mechanism,example,hook_subject,topic,used_batch
1,Barnum effect,"vague, generic personality statements feel personally accurate because they're written to apply to almost anyone",horoscopes and personality quizzes feel eerily accurate,horoscopes feel like they're describing you exactly,Why do horoscopes feel like they're describing you exactly?,
2,Placebo effect,"believing a treatment will work can trigger real physiological changes, even when the treatment itself does nothing",sugar pills can measurably reduce pain in clinical trials,a fake pill can make real pain go away,Why does a fake pill make real pain go away?,
3,Nocebo effect,"expecting a treatment to cause harm can produce real negative symptoms, even from an inactive substance","patients told about side effects are far more likely to report them, even on placebo",just reading a list of side effects can make you feel sick,Why does just reading a list of side effects make you feel sick?,
4,Framing effect,"the exact same information leads to different decisions depending on how it's worded, like 90 percent survival versus 10 percent mortality",doctors get different patient decisions just by rephrasing identical statistics,the same fact can sound completely different depending on how it's worded,Why does the same fact sound completely different depending on how it's worded?,
5,Overconfidence effect,"people consistently rate their own knowledge and skill higher than it actually is, especially in areas they know only a little about","most drivers rate themselves as above average, which is statistically impossible",almost everyone rates their own driving as above average,Why does almost everyone rate their own driving as above average?,
6,Hindsight bias,"once you know how something turned out, it feels like you knew it all along, even if you had no way to predict it",this is why disasters always look obvious in hindsight after the fact,a surprising result feels obvious the moment you already know the outcome,Why does a surprising result feel obvious the moment you already know the outcome?,
7,Just-world hypothesis,"people assume the world is fundamentally fair, so they unconsciously blame victims for their own misfortune to preserve that belief",this is part of why people ask what a victim could have done differently,people blame victims to protect their belief that the world is fair,Why do people blame victims just to protect their belief that the world is fair?,
8,Fundamental attribution error,"we explain other people's mistakes as character flaws, but explain our own mistakes as caused by circumstances","if you're late it's traffic, if someone else is late they're careless","you blame the driver, not the traffic, when someone else cuts you off","Why do you blame the driver, not the traffic, when someone else cuts you off?",
9,Self-serving bias,"people credit their successes to their own skill, but blame their failures on bad luck or outside factors","a good grade is your talent, a bad grade is the test being unfair",you take credit for wins but blame luck for losses,Why do you take credit for your wins but blame luck for your losses?,
10,In-group bias,"we automatically trust and favor people who feel like they belong to our group, based on surprisingly shallow signals",this happens with something as trivial as wearing the same sports jersey,you trust a stranger faster just for liking the same team,Why do you trust a stranger faster just for liking the same team?,
11,Bandwagon effect,"believing something becomes easier the more other people around you already seem to believe it, independent of the evidence",this is why trending topics feel more true just for being popular,an idea feels more true just because it's trending,Why does an idea feel more true just because it's trending?,
